,UID,SITE_ID,STATE,DATE_COL,Ammonia,Chlorophyll A,Dissolved Inorganic Nitrogen,Dissolved Inorganic Phosphate,Dissolved Silica,Nitrate,Nitrate/Nitrite,Nitrite,Nitrogen Particulate,Phosphorus Particulate,Total Dissolved Nitrogen,Total Dissolved Phosphorus,Total Kjeldahl Nitrogen,Total Nitrogen,Total Phosphorus,WTBDY_NM,EPA_REG,NCA_REGION,STATION_DEPTH
92,352,NCCA10-1107,CA,6/29/2010,0.017,3.69,0.03,0.024,,,0.013,,,,,,,0.240375,0.038845125,Mission Bay,9,West Coast,6.7
93,386,NCCA10-1667,FL,6/3/2010,0.003,2.68,0.019,0.063,,,0.016,,,,,,,0.4625,0.1696225,Hillsborough Bay,4,Gulf Coast,3.5
94,387,NCCAGL10-NPS09-037,MI,6/25/2010,0.004,0.7,0.279,0.006,,,0.275,,,,,,,0.42125,0.00401,Lake Michigan,5,Great Lakes,5.0
95,388,NCCAGL10-1161,OH,6/24/2010,0.007,133.18,3.267,0.017,,,3.26,,,,,,,4.419,0.253108125,Lake Erie,5,Great Lakes,1.5
96,390,NCCA10-1468,LA,7/8/2010,0.005,5.99,0.005,0.082,,,0.0,,,,,,,0.365,0.10249625,Lake Pontchartrain,6,Gulf Coast,5.5
97,391,NCCA10-1013,ME,6/29/2010,0.009,4.81,0.019,0.022,,,0.01,,,,,,,0.299,0.0456955,New Meadows River,1,East Coast,1.4
98,392,NCCA10-1014,ME,8/19/2010,0.002,1.01,0.018,0.011,,,0.016,,,,,,,0.1875,0.02692125,Casco Bay,1,East Coast,43.3
99,393,NCCA10-1012,ME,7/8/2010,0.0,1.08,0.02,0.016,,,0.02,,,,,,,0.13875,0.03761125,Casco Bay,1,East Coast,32.0
100,394,NCCA10-1016,ME,7/1/2010,0.002,0.95,0.015,0.009,,,0.013,,,,,,,0.15375,0.01475375,Casco Bay,1,East Coast,13.7
101,395,NCCA10-1018,ME,7/1/2010,0.002,1.14,0.015,0.006,,,0.013,,,,,,,0.17375,0.01583625,Casco Bay,1,East Coast,12.0
102,396,NCCA10-1019,ME,6/28/2010,0.001,4.2,0.017,0.026,,,0.016,,,,,,,0.246625,0.032054375,Maquoit Bay,1,East Coast,5.0
103,397,NCCA10-1059,ME,7/15/2010,0.004,1.84,0.016,0.009,,,0.012,,,,,,,0.2725,0.02547,Wells Embayment,1,East Coast,9.3
104,398,NCCA10-1067,ME,7/29/2010,0.005,21.05,0.018,0.015,,,0.013,,,,,,,0.1825,0.0212075,Muscongus Bay,1,East Coast,22.0
105,399,NCCA10-1086,ME,7/14/2010,0.0,4.6,0.011,0.014,,,0.011,,,,,,,0.2025,0.02535125,Muscle Ridge Channel/Owls Head,1,East Coast,15.5
106,400,NCCA10-1194,GA,7/12/2010,0.009,19.33,0.022,0.042,,,0.013,,,,,,,0.49375,0.1344575,St. Simeon Sound,4,East Coast,4.3
107,401,NCCA10-1205,GA,7/15/2010,0.042,8.85,0.161,0.089,,,0.119,,,,,,,0.75375,0.180485,Turtle River,4,East Coast,1.75
108,402,NCCA10-1329,LA,6/28/2010,0.009,7.36,0.009,0.098,,,0.0,,,,,,,0.645625,0.111469875,Lake De Cade,6,Gulf Coast,2.0
109,403,NCCA10-1450,LA,7/11/2010,0.077,3.33,0.118,0.132,,,0.041,,,,,,,0.6575,0.20256375,Blind River,6,Gulf Coast,5.0
110,404,NCCA10-1454,LA,7/13/2010,0.004,4.95,0.004,0.097,,,0.0,,,,,,,0.34625,0.11968125,Lake Pontchartrain,6,Gulf Coast,4.2
111,405,NCCA10-1458,LA,7/13/2010,0.005,6.28,0.005,0.087,,,0.0,,,,,,,0.39125,0.11454375,Lake Pontchartrain,6,Gulf Coast,4.2
112,406,NCCA10-1462,LA,7/14/2010,0.003,5.13,0.003,0.09,,,0.0,,,,,,,0.365,0.112485,Lake Pontchartrain,6,Gulf Coast,5.4
113,407,NCCA10-1466,LA,7/8/2010,0.009,2.19,0.009,0.086,,,0.0,,,,,,,0.36625,0.0929225,Lake Pontchartrain,6,Gulf Coast,5.5
114,417,NCCA10-1225,WA,7/9/2010,0.001,6.10032,0.009,0.011,,,0.008,,,,,,,0.23,0.040465,Puget Sound,10,West Coast,142.0
115,418,NCCA10-1228,WA,7/6/2010,0.007,1.43,0.018,0.026,,,0.011,,,,,,,0.21,0.03783,Carr Inlet,10,West Coast,31.0
116,419,NCCA10-1232,WA,7/8/2010,0.031,4.24,0.215,0.061,,,0.184,,,,,,,0.3825,0.06229875,Colvos/Dalco Passage,10,West Coast,7.6
117,420,NCCA10-1233,WA,7/9/2010,0.001,22.2,0.009,0.017,,,0.008,,,,,,,0.3475,0.06573875,Port Orchard,10,West Coast,10.0
118,422,NCCA10-1244,WA,7/10/2010,0.001,6.26,0.009,0.01,,,0.008,,,,,,,0.24125,0.04183,Puget Sound,10,West Coast,185.0
119,423,NCCAGL10-GLBA10-042,MI,7/15/2010,0.008,0.31,0.264,0.005,,,0.256,,,,,,,0.39,0.0026325,Lake Huron,5,Great Lakes,8.6
120,424,NCCAGL10-GLBA10-058,MI,7/12/2010,0.015,1.37,0.08,0.005,,,0.065,,,,,,,0.29875,0.00451625,Lake Huron,5,Great Lakes,0.2
121,425,NCCAGL10-GLBA10-078,MI,7/16/2010,0.012,0.64,0.135,0.007,,,0.123,,,,,,,0.3175,0.00555625,Lake Huron,5,Great Lakes,4.9
122,426,NCCAGL10-GLBA10-090,MI,7/14/2010,0.007,0.33,0.232,0.005,,,0.225,,,,,,,0.3775,0.00348875,Lake Huron,5,Great Lakes,1.0
123,427,NCCAGL10-GLBA10-122,MI,7/13/2010,0.009,0.52,0.009,0.016,,,0.0,,,,,,,0.1675,0.00636875,Lake Huron,5,Great Lakes,0.4
124,428,NCCAGL10-GLBA10-143,MI,6/24/2010,0.012,3.26,0.173,0.017,,,0.161,,,,,,,0.79375,0.03511625,Lake Michigan,5,Great Lakes,0.4
125,429,NCCAGL10-GLBA10-154,MI,7/15/2010,0.006,0.32578,0.263,0.005,,,0.257,,,,,,,0.36625,0.00223375,Lake Huron,5,Great Lakes,9.7
126,431,NCCAGL10-NPS09-011,MI,6/26/2010,0.007,0.81,0.28,0.015,,,0.273,,,,,,,0.42625,0.00433275,Lake Michigan,5,Great Lakes,4.3
127,432,NCCAGL10-NPS09-027,MI,6/26/2010,0.005,0.83,0.279,0.015,,,0.274,,,,,,,0.4305,0.004151,Lake Michigan,5,Great Lakes,7.4
128,433,NCCAGL10-NPS09-028,MI,7/7/2010,0.005,0.78,0.289,0.005,,,0.284,,,,,,,0.4375,0.00316375,Lake Michigan,5,Great Lakes,18.3
129,434,NCCAGL10-NPS09-032,MI,7/7/2010,0.008,0.91,0.293,0.005,,,0.285,,,,,,,0.4725,0.00393125,Lake Michigan,5,Great Lakes,2.4
130,436,NCCAGL10-NPS09-039,MI,6/25/2010,0.011,0.74,0.304,0.003,,,0.293,,,,,,,0.424,0.00356525,Lake Michigan,5,Great Lakes,6.1
131,437,NCCAGL10-NPS09-043,MI,6/25/2010,0.004,1.12,0.286,0.003,,,0.282,,,,,,,0.433375,0.005232875,Lake Michigan,5,Great Lakes,2.8
132,438,NCCAGL10-NPS09-048,MI,7/7/2010,0.009,0.9,0.299,0.005,,,0.29,,,,,,,0.465,0.0036925,Lake Michigan,5,Great Lakes,2.7
133,447,NCCAGL10-2092,MI,7/11/2010,0.009,2.52,0.17,0.005,,,0.161,,,,,,,0.39375,0.00453625,Lake Huron,5,Great Lakes,5.7
134,448,NCCAGL10-2046,MI,7/8/2010,0.01,0.88,0.274,0.005,,,0.264,,,,,,,0.44875,0.00474875,Lake Michigan,5,Great Lakes,6.3
135,449,NCCAGL10-2004,MI,7/1/2010,0.004,0.56,0.339,0.006,,,0.335,,,,,,,0.4375,0.00291625,Lake Superior,5,Great Lakes,16.5
136,450,NCCAGL10-1168,MI,6/16/2010,0.067,2.86,0.423,0.015,,,0.356,,,,,,,0.5925,0.045025,Lake Erie,5,Great Lakes,7.5
137,451,NCCAGL10-1131,MI,6/30/2010,0.008,0.95,0.163,0.006,,,0.155,,,,,,,0.353875,0.00704925,Lake Huron,5,Great Lakes,1.9
138,452,NCCAGL10-1128,MI,7/9/2010,0.01,0.3,0.272,0.005,,,0.262,,,,,,,0.38125,0.00202375,Lake Huron,5,Great Lakes,6.2
139,453,NCCAGL10-1127,MI,7/1/2010,0.009,1.11,0.162,0.004,,,0.153,,,,,,,0.3475,0.00485625,Lake Huron,5,Great Lakes,3.8
140,454,NCCAGL10-1126,MI,6/10/2010,0.003,0.64,0.283,0.005,,,0.28,,,,,,,0.3475,0.0051175,Lake Huron,5,Great Lakes,23.6
141,455,NCCAGL10-1117,MI,7/9/2010,0.01,0.32,0.268,0.005,,,0.258,,,,,,,0.37375,0.0,Lake Huron,5,Great Lakes,11.5
142,456,NCCAGL10-1112,MI,7/16/2010,0.009,1.71,0.225,0.005,,,0.216,,,,,,,0.43375,0.00761125,Lake Huron,5,Great Lakes,0.5
143,457,NCCAGL10-1111,MI,7/10/2010,0.006,4.48,0.186,0.006,,,0.18,,,,,,,0.475,0.009845,Lake Huron,5,Great Lakes,9.3
144,458,NCCAGL10-1110,MI,7/2/2010,0.013,1.12,0.185,0.004,,,0.172,,,,,,,0.3475,0.00714125,Lake Huron,5,Great Lakes,3.3
145,459,NCCAGL10-1109,MI,7/15/2010,0.01,3.35,0.151,0.005,,,0.141,,,,,,,0.3725,0.00612125,Lake Huron,5,Great Lakes,1.8
146,460,NCCAGL10-1107,MI,7/8/2010,0.004,0.71,0.26,0.005,,,0.256,,,,,,,0.38,0.00342375,Lake Huron,5,Great Lakes,18.4
147,461,NCCAGL10-1105,MI,7/9/2010,0.011,0.29,0.257,0.004,,,0.246,,,,,,,0.36125,0.0021325,Lake Huron,5,Great Lakes,3.8
148,462,NCCAGL10-1104,MI,6/11/2010,0.011,1.65,0.216,0.003,,,0.205,,,,,,,0.3025,0.00330125,Lake Huron,5,Great Lakes,0.1
149,463,NCCAGL10-1102,MI,7/13/2010,0.003,10.49,0.19,0.005,,,0.187,,,,,,,0.8425,0.01527625,Lake Huron,5,Great Lakes,1.2
150,464,NCCAGL10-1101,MI,7/10/2010,0.009,0.94,0.21,0.006,,,0.201,,,,,,,0.365,0.0038375,Lake Huron,5,Great Lakes,11.8
151,465,NCCAGL10-1099,MI,7/14/2010,0.004,0.92,0.234,0.004,,,0.23,,,,,,,0.39625,0.00273125,Lake Huron,5,Great Lakes,7.5
152,466,NCCAGL10-1097,MI,7/8/2010,0.01,0.53,0.253,0.005,,,0.243,,,,,,,0.3875,0.0029725,Lake Huron,5,Great Lakes,10.7
153,467,NCCAGL10-1078,MI,7/7/2010,0.007,0.5,0.221,0.003,,,0.214,,,,,,,0.38125,0.0036425,Lake Michigan,5,Great Lakes,4.3
