UID,Site ID,State,Date Collected,Chlorophyll A,Dissolved Inorganic Nitrogen,Ammonia,Nitrate/Nitrite,Total Nitrogen,Total Phosphorus,Dissolved Inorganic Phosphate,Waterbody Name,NCCR Region,EPA Region,Province,NCA Region,Latitude,Longitude
556,NCCA10-1172,FL,6/30/2010,4.04,0.081,0.073,0.008,0.5855,0.08838525,0.04,Indian River Lagoon,Southeast,4,West Indian Province,East Coast,27.30802,-80.22329
557,NCCA10-1169,FL,6/28/2010,13.99,0.019,0.004,0.015,1.565,0.065768625,0.052,Newfound Harbor,Southeast,4,Carolinian Province,East Coast,28.34497,-80.6796
558,NCCA10-1168,FL,7/1/2010,16.16,0.011,0.002,0.009,0.794875,0.101277625,0.01,Indian River Lagoon,Southeast,4,Carolinian Province,East Coast,27.99244,-80.54977
559,NCCA10-1167,FL,6/28/2010,12.07,0.018,0.004,0.014,0.848125,0.095840375,0.057,Indian River Lagoon,Southeast,4,Carolinian Province,East Coast,28.17397,-80.62525
567,NCCA10-2661,FL,7/19/2010,0.6,0.026,0.014,0.012,0.77625,0.00443875,0.005,Buttonwood Sound,Gulf,4,West Indian Province,Gulf Coast,25.10833,-80.46311
568,NCCA10-2432,FL,7/13/2010,3.85,0.013,0.0,0.013,0.36125,0.02040375,0.008,The Narrows,Gulf,4,Louisianian Province,Gulf Coast,30.40743,-86.72775
571,NCCA10-1679,FL,7/12/2010,18.08,0.01,0.0,0.01,0.70375,0.091095,0.042,Whitney River,Gulf,4,West Indian Province,Gulf Coast,25.9203,-81.57883
572,NCCA10-1677,FL,7/13/2010,2.25,0.011,0.004,0.007,0.65875,0.01457125,0.012,Whitewater Bay,Gulf,4,West Indian Province,Gulf Coast,25.32321,-81.00861
573,NCCA10-1675,FL,7/12/2010,5.32,0.009,0.0,0.009,0.58875,0.03625125,0.022,Chokoloskee Bay,Gulf,4,West Indian Province,Gulf Coast,25.84431,-81.43006
575,NCCA10-1665,FL,7/20/2010,0.81,0.095,0.07,0.025,0.8125,0.00427,0.006,Little Blackwater Sound,Gulf,4,West Indian Province,Gulf Coast,25.211602,-80.438719
576,NCCA10-1663,FL,7/19/2010,1.23,0.075,0.042,0.033,0.97,0.0061075,0.007,Joe Bay,Gulf,4,West Indian Province,Gulf Coast,25.21443,-80.57296
577,NCCA10-1662,FL,7/15/2010,0.81,0.023,0.008,0.015,0.5075,0.00853375,0.013,Florida Bay,Gulf,4,West Indian Province,Gulf Coast,25.04919,-80.90679
578,NCCA10-1661,FL,7/21/2010,1.59,0.296,0.114,0.182,0.93,0.00720125,0.007,Blackwater Sound,Gulf,4,West Indian Province,Gulf Coast,25.162216,-80.434312
579,NCCA10-1660,FL,7/20/2010,1.19,0.087,0.062,0.025,0.8425,0.00524625,0.007,Little Blackwater Sound,Gulf,4,West Indian Province,Gulf Coast,25.218962,-80.461481
580,NCCA10-1657,FL,7/15/2010,5.08,0.014,0.0,0.014,0.4275,0.02228,0.01,Florida Bay,Gulf,4,West Indian Province,Gulf Coast,25.07473,-81.06462
584,NCCA10-1645,FL,7/21/2010,0.59,0.175,0.006,0.169,0.4675,0.00310375,0.004,Little Card Sound,Gulf,4,West Indian Province,Gulf Coast,25.308228,-80.343986
585,NCCA10-1644,FL,7/21/2010,0.62,0.134,0.001,0.133,0.49,0.00250625,0.004,Little Card Sound,Gulf,4,West Indian Province,Gulf Coast,25.311625,-80.361059
586,NCCA10-1638,FL,7/20/2010,0.53,0.043,0.014,0.029,0.5925,0.00353625,0.007,Barnes Sound,Gulf,4,West Indian Province,Gulf Coast,25.276698,-80.374309
587,NCCA10-1528,VA,7/13/2010,14.8,0.004,0.004,0.001,0.5,0.0823,0.03,Warwick River,Northeast,3,Virginian Province,East Coast,36.89976,-76.45873
